Ticker,Company,Industry,Sector,DividendYield,PayoutRatio
OMC,Omnicom Group Inc.,Advertising Agencies,Communication Services,4.28,0.413
ON,ON Semiconductor Corporation,Semiconductors,Technology,,0.0
OKE,"ONEOK, Inc.",Oil & Gas Midstream,Energy,4.71,0.7601
ORCL,Oracle Corporation,Software - Infrastructure,Technology,1.37,0.35909998
OTIS,Otis Worldwide Corporation,Specialty Industrial Machinery,Industrials,2.16,0.4714
PCAR,PACCAR Inc.,Farm & Heavy Construction Machinery,Industrials,1.12,0.2927
PKG,Packaging Corporation of Americ,Packaging & Containers,Consumer Cyclical,2.45,0.5828
PLTR,Palantir Technologies Inc.,Software - Infrastructure,Technology,,0.0
PANW,"Palo Alto Networks, Inc.",Software - Infrastructure,Technology,,0.0
PSKY,Paramount Skydance Corporation,Entertainment,Communication Services,2.1,6.6667
PH,Parker-Hannifin Corporation,Specialty Industrial Machinery,Industrials,0.79,0.2565
PAYX,"Paychex, Inc.",Software - Application,Technology,4.71,0.9536
PYPL,"PayPal Holdings, Inc.",Credit Services,Financial Services,1.24,0.025899999
PNR,Pentair plc.,Specialty Industrial Machinery,Industrials,1.21,0.2545
PEP,"Pepsico, Inc.",Beverages - Non-Alcoholic,Consumer Defensive,3.62,0.9371
PFE,"Pfizer, Inc.",Drug Manufacturers - General,Healthcare,6.07,1.2647
PCG,Pacific Gas & Electric Co.,Utilities - Regulated Electric,Utilities,1.13,0.105900005
PM,Philip Morris International Inc,Tobacco,Consumer Defensive,3.72,0.7765
PSX,Phillips 66,Oil & Gas Refining & Marketing,Energy,2.88,0.4402
PNW,Pinnacle West Capital Corporati,Utilities - Regulated Electric,Utilities,3.54,0.7119
PNC,"PNC Financial Services Group, I",Banks - Regional,Financial Services,3.21,0.3978
POOL,Pool Corporation,Industrial Distribution,Industrials,2.46,0.4562
PPG,"PPG Industries, Inc.",Specialty Chemicals,Basic Materials,2.75,0.4017
PPL,PPL Corporation,Utilities - Regulated Electric,Utilities,2.95,0.6855
PFG,Principal Financial Group Inc,Asset Management,Financial Services,3.47,0.58669996
PG,Procter & Gamble Company (The),Household & Personal Products,Consumer Defensive,2.95,0.6188
PGR,Progressive Corporation (The),Insurance - Property & Casualty,Financial Services,7.12,0.7228
PLD,"Prologis, Inc.",REIT - Industrial,Real Estate,3.2,1.1348001
PRU,"Prudential Financial, Inc.",Insurance - Life,Financial Services,5.59,0.5405
PEG,Public Service Enterprise Group,Utilities - Regulated Electric,Utilities,3.28,0.59720004
PTC,PTC Inc.,Software - Application,Technology,,0.0
PSA,Public Storage,REIT - Industrial,Real Estate,4.28,1.3319
PHM,"PulteGroup, Inc.",Residential Construction,Consumer Cyclical,0.89,0.08270001
PWR,"Quanta Services, Inc.",Engineering & Construction,Industrials,0.08,0.060300004
QCOM,QUALCOMM Incorporated,Semiconductors,Technology,2.81,0.7097
DGX,Quest Diagnostics Incorporated,Diagnostics & Research,Healthcare,1.74,0.36
Q,"Qnity Electronics, Inc.",Semiconductor Equipment & Materials,Technology,0.12,0.0182
RL,Ralph Lauren Corporation,Apparel Manufacturing,Consumer Cyclical,1.05,0.24229999
RJF,"Raymond James Financial, Inc.",Asset Management,Financial Services,1.52,0.19940001
RTX,RTX Corporation,Aerospace & Defense,Industrials,1.39,0.53830004
O,Realty Income Corporation,REIT - Retail,Real Estate,5.2,2.7547
REG,Regency Centers Corporation,REIT - Retail,Real Estate,3.92,1.0177
REGN,"Regeneron Pharmaceuticals, Inc.",Biotechnology,Healthcare,0.49,0.0849
RF,Regions Financial Corporation,Banks - Regional,Financial Services,3.95,0.44779998
RSG,"Republic Services, Inc.",Waste Management,Industrials,1.12,0.3518
RMD,ResMed Inc.,Medical Instruments & Supplies,Healthcare,1.07,0.2235
RVTY,"Revvity, Inc.",Diagnostics & Research,Healthcare,0.31,0.1359
HOOD,"Robinhood Markets, Inc.",Capital Markets,Financial Services,,0.0
ROK,"Rockwell Automation, Inc.",Specialty Industrial Machinery,Industrials,1.51,0.6069
ROL,"Rollins, Inc.",Personal Services,Consumer Cyclical,1.35,0.6228
ROP,"Roper Technologies, Inc.",Software - Application,Technology,1.02,0.2324
ROST,"Ross Stores, Inc.",Apparel Retail,Consumer Cyclical,0.81,0.2451
RCL,Royal Caribbean Cruises Ltd.,Travel Services,Consumer Cyclical,1.55,0.2242
SPGI,S&P Global Inc.,Financial Data & Stock Exchanges,Financial Services,0.9,0.2619
CRM,"Salesforce, Inc.",Software - Application,Technology,0.94,0.2133
SNDK,Sandisk Corporation,Computer Hardware,Technology,,0.0
SBAC,SBA Communications Corporation,REIT - Specialty,Real Estate,2.45,0.45310003
SLB,SLB Limited,Oil & Gas Equipment & Services,Energy,2.39,0.48509997
STX,Seagate Technology Holdings PLC,Computer Hardware,Technology,0.69,0.32770002
SRE,DBA Sempra,Utilities - Diversified,Utilities,2.65,0.9382
NOW,"ServiceNow, Inc.",Software - Application,Technology,,0.0
SHW,Sherwin-Williams Company (The),Specialty Chemicals,Basic Materials,1.01,0.308
SPG,"Simon Property Group, Inc.",REIT - Retail,Real Estate,4.58,0.6034
SWKS,"Skyworks Solutions, Inc.",Semiconductors,Technology,5.15,1.0805
SJM,The J.M. Smucker Company,Packaged Foods,Consumer Defensive,4.61,0.8606
SW,Smurfit WestRock plc,Packaging & Containers,Consumer Cyclical,4.6,1.2955999
SNA,Snap-On Incorporated,Tools & Accessories,Industrials,2.67,0.4617
SOLV,Solventum Corporation,Medical Instruments & Supplies,Healthcare,,0.0
SO,Southern Company (The),Utilities - Regulated Electric,Utilities,3.04,0.75
LUV,Southwest Airlines Company,Airlines,Industrials,1.91,0.9114
SWK,"Stanley Black & Decker, Inc.",Tools & Accessories,Industrials,4.84,1.2452999
SBUX,Starbucks Corporation,Restaurants,Consumer Cyclical,2.74,2.0417
STT,State Street Corporation,Asset Management,Financial Services,2.61,0.3404
STLD,"Steel Dynamics, Inc.",Steel,Basic Materials,1.13,0.25030002
STE,STERIS plc (Ireland),Medical Devices,Healthcare,1.12,0.33470002
SYK,Stryker Corporation,Medical Devices,Healthcare,1.06,0.4048
SMCI,"Super Micro Computer, Inc.",Computer Hardware,Technology,,0.0
SYF,Synchrony Financial,Credit Services,Financial Services,1.75,0.123900004
SNPS,"Synopsys, Inc.",Software - Infrastructure,Technology,,0.0
SYY,Sysco Corporation,Food Distribution,Consumer Defensive,3.04,0.5741
TMUS,"T-Mobile US, Inc.",Telecom Services,Communication Services,2.03,0.3765
TROW,"T. Rowe Price Group, Inc.",Asset Management,Financial Services,5.77,0.5498
TTWO,"Take-Two Interactive Software, ",Electronic Gaming & Multimedia,Communication Services,,0.0
TPR,"Tapestry, Inc.",Luxury Goods,Consumer Cyclical,1.13,0.5814
TRGP,"Targa Resources, Inc.",Oil & Gas Midstream,Energy,1.64,0.44169998
TGT,Target Corporation,Discount Stores,Consumer Defensive,3.79,0.556
TEL,TE Connectivity plc,Electronic Components,Technology,1.39,0.40060002
TDY,Teledyne Technologies Incorpora,Scientific & Technical Instruments,Technology,,0.0
TER,"Teradyne, Inc.",Semiconductor Equipment & Materials,Technology,0.17,0.1383
TSLA,"Tesla, Inc.",Auto Manufacturers,Consumer Cyclical,,0.0
TXN,Texas Instruments Incorporated,Semiconductors,Technology,2.91,1.0092
TPL,Texas Pacific Land Corporation,Oil & Gas E&P,Energy,0.54,0.3061
TXT,Textron Inc.,Aerospace & Defense,Industrials,0.09,0.0156
TMO,Thermo Fisher Scientific Inc,Diagnostics & Research,Healthcare,0.36,0.096999995
TJX,"TJX Companies, Inc. (The)",Apparel Retail,Consumer Cyclical,1.19,0.3388
TKO,"TKO Group Holdings, Inc.",Entertainment,Communication Services,1.53,1.0177
TTD,"The Trade Desk, Inc.",Advertising Agencies,Communication Services,,0.0
TSCO,Tractor Supply Company,Specialty Retail,Consumer Cyclical,2.19,0.4466
TT,Trane Technologies plc,Building Products & Equipment,Industrials,0.98,0.2861
TDG,Transdigm Group Incorporated,Aerospace & Defense,Industrials,,0.0
TRV,"The Travelers Companies, Inc.",Insurance - Property & Casualty,Financial Services,1.5,0.1586
TRMB,Trimble Inc.,Scientific & Technical Instruments,Technology,,0.0
TFC,Truist Financial Corporation,Banks - Regional,Financial Services,4.41,0.5445
TYL,"Tyler Technologies, Inc.",Software - Application,Technology,,0.0
TSN,"Tyson Foods, Inc.",Farm Products,Consumer Defensive,3.16,3.5893
USB,U.S. Bancorp,Banks - Regional,Financial Services,3.89,0.4416
UBER,"Uber Technologies, Inc.",Software - Application,Technology,,0.0
UDR,"UDR, Inc.",REIT - Residential,Real Estate,5.02,1.5177001
ULTA,"Ulta Beauty, Inc.",Specialty Retail,Consumer Cyclical,,0.0
UNP,Union Pacific Corporation,Railroads,Industrials,2.26,0.4541
UAL,"United Airlines Holdings, Inc.",Airlines,Industrials,,0.0
UPS,"United Parcel Service, Inc.",Integrated Freight & Logistics,Industrials,6.68,1.0
URI,"United Rentals, Inc.",Rental & Leasing Services,Industrials,1.08,0.18540001
UNH,UnitedHealth Group Incorporated,Healthcare Plans,Healthcare,3.19,0.65989995
UHS,"Universal Health Services, Inc.",Medical Care Facilities,Healthcare,0.45,0.0346
VLO,Valero Energy Corporation,Oil & Gas Refining & Marketing,Energy,1.97,0.5971
VTR,"Ventas, Inc.",REIT - Healthcare Facilities,Real Estate,2.5,3.5556
VLTO,Veralto Corp,Pollution & Treatment Controls,Industrials,0.59,0.1223
VRSN,"VeriSign, Inc.",Software - Infrastructure,Technology,1.25,0.2622
VRSK,"Verisk Analytics, Inc.",Consulting Services,Industrials,1.08,0.2778
VZ,Verizon Communications Inc.,Telecom Services,Communication Services,5.73,0.6736
VRTX,Vertex Pharmaceuticals Incorpor,Biotechnology,Healthcare,,0.0
VRT,"Vertiv Holdings, LLC",Electrical Equipment & Parts,Industrials,0.1,0.0513
VTRS,Viatris Inc.,Drug Manufacturers - Specialty & Generic,Healthcare,3.57,9.6
VICI,VICI Properties Inc.,REIT - Diversified,Real Estate,6.44,0.67620003
V,Visa Inc.,Credit Services,Financial Services,0.89,0.2291
VST,Vistra Corp.,Utilities - Independent Power Producers,Utilities,0.6,0.41349998
VMC,Vulcan Materials Company (Holdi,Building Materials,Basic Materials,0.74,0.24049999
WRB,W.R. Berkley Corporation,Insurance - Property & Casualty,Financial Services,0.55,0.0787
GWW,"W.W. Grainger, Inc.",Industrial Distribution,Industrials,0.81,0.2494
WAB,Westinghouse Air Brake Technolo,Railroads,Industrials,0.42,0.1464
WMT,Walmart Inc.,Discount Stores,Consumer Defensive,0.79,0.3443
DIS,Walt Disney Company (The),Entertainment,Communication Services,1.55,0.1841
WBD,"Warner Bros. Discovery, Inc. - ",Entertainment,Communication Services,,0.0
WM,"Waste Management, Inc.",Waste Management,Industrials,1.45,0.4925
WAT,Waters Corporation,Diagnostics & Research,Healthcare,,0.0
WEC,"WEC Energy Group, Inc.",Utilities - Regulated Electric,Utilities,3.24,0.7422
WFC,Wells Fargo & Company,Banks - Diversified,Financial Services,2.23,0.2716
WELL,Welltower Inc.,REIT - Healthcare Facilities,Real Estate,1.46,1.9858999
WST,"West Pharmaceutical Services, I",Medical Instruments & Supplies,Healthcare,0.35,0.1252
WDC,Western Digital Corporation,Computer Hardware,Technology,0.17,0.0307
WY,Weyerhaeuser Company,REIT - Specialty,Real Estate,3.44,1.8666999
WSM,"Williams-Sonoma, Inc.",Specialty Retail,Consumer Cyclical,1.69,0.29860002
WMB,"Williams Companies, Inc. (The)",Oil & Gas Midstream,Energy,2.92,0.9346
WTW,Willis Towers Watson Public Lim,Insurance Brokers,Financial Services,1.33,0.22629999
WDAY,"Workday, Inc.",Software - Application,Technology,,0.0
WYNN,"Wynn Resorts, Limited",Resorts & Casinos,Consumer Cyclical,0.98,0.3185
XEL,Xcel Energy Inc.,Utilities - Regulated Electric,Utilities,2.94,0.6667
XYL,Xylem Inc.,Specialty Industrial Machinery,Industrials,1.42,0.4082
YUM,"Yum! Brands, Inc.",Restaurants,Consumer Cyclical,1.92,0.5117
ZBRA,Zebra Technologies Corporation,Communication Equipment,Technology,,0.0
ZBH,"Zimmer Biomet Holdings, Inc.",Medical Devices,Healthcare,1.06,0.27040002
ZTS,Zoetis Inc.,Drug Manufacturers - Specialty & Generic,Healthcare,1.8,0.33220002
